Inorganic,Organic,Solvent,Normalized Thickness
DEZ,CB,Water,0.04666
DEZ,THB,Water,0.06727
DEZ,MPD,Ethanol,0.09
DEZ,EG,Water,0.11492
DEZ,BTY,Water,0.20046
DEZ,MPD,Water,0.21936
DEZ,THB,Ethanol,0.249
DEZ,DHB,Ethanol,0.25171
DEZ,CB,Ethanol,0.2576
DEZ,THB,Chloroform,0.27293
DEZ,DHB,Water,0.28474
DEZ,MPD,Chloroform,0.33946
DEZ,CB,Acetone,0.35086
DEZ,CB,Toluene,0.35105
DEZ,DHB,Chloroform,0.39926
DEZ,BTY,Acetone,0.4139
DEZ,BTY,Ethanol,0.41508
DEZ,CB,Air,0.43188
DEZ,THB,Acetone,0.46324
DEZ,BTY,Toluene,0.51666
DEZ,BTY,Air,0.5376
DEZ,THB,Toluene,0.55557
DEZ,DHB,Toluene,0.60633
DEZ,DHB,Acetone,0.62466
DEZ,MPD,Toluene,0.68482
DEZ,THB,Air,0.70587
DEZ,EG,Ethanol,0.71219
DEZ,BTY,Chloroform,0.73852
DEZ,MPD,Acetone,0.74347
DEZ,DHB,Air,0.74844
DEZ,CB,Chloroform,0.7491
DEZ,MPD,Air,0.7609
DEZ,EG,Toluene,0.83358
DEZ,EG,Chloroform,0.84464
DEZ,EG,Air,0.90738
DEZ,EG,Acetone,0.54464
TMA,DHB,Ethanol,2.397628458
TMA,EG,Toluene,2.164377146
TMA,THB,Toluene,1.934235977
TMA,MPD,Toluene,1.72993712
TMA,DHB,Toluene,1.704915004
TMA,DHB,Chloroform,1.377285656
TMA,MPD,Ethanol,1.255248389
TMA,EG,Ethanol,1.246169221
TMA,BTY,Air,1.191609421
TMA,THB,Ethanol,1.1802767
TMA,BTY,Ethanol,1.166256494
TMA,THB,Air,1.082716587
TMA,EG,Air,1.082462805
TMA,DHB,Air,1.077035186
TMA,MPD,Air,1.070455709
TMA,THB,Acetone,1.06091767
TMA,THB,Chloroform,1.035632184
TMA,EG,Chloroform,1.031287196
TMA,DHB,Acetone,1.01921845
TMA,BTY,Chloroform,1.011023956
TMA,BTY,Toluene,0.999335989
TMA,BTY,Water,0.980191513
TMA,MPD,Chloroform,0.978508997
TMA,EG,Acetone,0.978271445
TMA,MPD,Acetone,0.945304219
TMA,BTY,Acetone,0.944931865
TMA,CB,Toluene,0.920522591
TMA,CB,Ethanol,0.88625
TMA,CB,Air,0.86088993
TMA,CB,Water,0.777
TMA,CB,Acetone,0.7628
TMA,CB,Chloroform,0.67245
TMA,MPD,Water,0.520514446
TMA,DHB,Water,0.50931677
TMA,THB,Water,0.478334034
TMA,EG,Water,0.234350203
DEZ,CB,0.01 M HCl,0.061
DEZ,CB,0.1 M KOH,0.044
DEZ,THB,0.01 M HCl,0.034
DEZ,THB,0.1 M KOH,0.058
DEZ,MPD,0.01 M HCl,0.032
DEZ,MPD,0.1 M KOH,0.037
DEZ,EG,0.01 M HCl,0.05
DEZ,EG,0.1 M KOH,0.031
DEZ,BTY,0.01 M HCl,0.06
DEZ,BTY,0.1 M KOH,0.063
DEZ,DHB,0.01 M HCl,0.041
DEZ,DHB,0.1 M KOH,0.047
TMA,CB,0.01 M HCl,0.046
TMA,CB,0.1 M KOH,0.062
TMA,THB,0.01 M HCl,0.025
TMA,THB,0.1 M KOH,0.029
TMA,MPD,0.01 M HCl,0.068
TMA,MPD,0.1 M KOH,0.038
TMA,EG,0.01 M HCl,0.061
TMA,EG,0.1 M KOH,0.043
TMA,BTY,0.01 M HCl,0.042
TMA,BTY,0.1 M KOH,0.05
TMA,DHB,0.01 M HCl,0.034
TMA,DHB,0.1 M KOH,0.062
