Inorganic,Organic,Solvent,Thickness,Normalized Thickness
DEZ,CB,Water,-0.95334,0.04666
DEZ,THB,Water,-0.93273,0.06727
DEZ,MPD,Ethanol,-0.91,0.09
DEZ,EG,Water,-0.88508,0.11492
DEZ,BTY,Water,-0.79954,0.20046
DEZ,MPD,Water,-0.78064,0.21936
DEZ,THB,Ethanol,-0.751,0.249
DEZ,DHB,Ethanol,-0.74829,0.25171
DEZ,CB,Ethanol,-0.7424,0.2576
DEZ,THB,Chloroform,-0.72707,0.27293
DEZ,DHB,Water,-0.71526,0.28474
DEZ,MPD,Chloroform,-0.66054,0.33946
DEZ,CB,Acetone,-0.64914,0.35086
DEZ,CB,Toluene,-0.64895,0.35105
DEZ,DHB,Chloroform,-0.60074,0.39926
DEZ,BTY,Acetone,-0.5861,0.4139
DEZ,BTY,Ethanol,-0.58492,0.41508
DEZ,CB,Air,-0.56812,0.43188
DEZ,THB,Acetone,-0.53676,0.46324
DEZ,BTY,Toluene,-0.48334,0.51666
DEZ,BTY,Air,-0.4624,0.5376
DEZ,THB,Toluene,-0.44443,0.55557
DEZ,DHB,Toluene,-0.39367,0.60633
DEZ,DHB,Acetone,-0.37534,0.62466
DEZ,MPD,Toluene,-0.31518,0.68482
DEZ,THB,Air,-0.29413,0.70587
DEZ,EG,Ethanol,-0.28781,0.71219
DEZ,BTY,Chloroform,-0.26148,0.73852
DEZ,MPD,Acetone,-0.25653,0.74347
DEZ,DHB,Air,-0.25156,0.74844
DEZ,CB,Chloroform,-0.2509,0.7491
DEZ,MPD,Air,-0.2391,0.7609
DEZ,EG,Toluene,-0.16642,0.83358
DEZ,EG,Chloroform,-0.15536,0.84464
DEZ,EG,Air,-0.09262,0.90738
DEZ,EG,Acetone,-0.45536,0.54464
TMA,DHB,Ethanol,1.397628458,2.397628458
TMA,EG,Toluene,1.164377146,2.164377146
TMA,THB,Toluene,0.934235977,1.934235977
TMA,MPD,Toluene,0.72993712,1.72993712
TMA,DHB,Toluene,0.704915004,1.704915004
TMA,DHB,Chloroform,0.377285656,1.377285656
TMA,MPD,Ethanol,0.255248389,1.255248389
TMA,EG,Ethanol,0.246169221,1.246169221
TMA,BTY,Air,0.191609421,1.191609421
TMA,THB,Ethanol,0.1802767,1.1802767
TMA,BTY,Ethanol,0.166256494,1.166256494
TMA,THB,Air,0.082716587,1.082716587
TMA,EG,Air,0.082462805,1.082462805
TMA,DHB,Air,0.077035186,1.077035186
TMA,MPD,Air,0.070455709,1.070455709
TMA,THB,Acetone,0.06091767,1.06091767
TMA,THB,Chloroform,0.035632184,1.035632184
TMA,EG,Chloroform,0.031287196,1.031287196
TMA,DHB,Acetone,0.01921845,1.01921845
TMA,BTY,Chloroform,0.011023956,1.011023956
TMA,BTY,Toluene,-0.000664011,0.999335989
TMA,BTY,Water,-0.019808487,0.980191513
TMA,MPD,Chloroform,-0.021491003,0.978508997
TMA,EG,Acetone,-0.021728555,0.978271445
TMA,MPD,Acetone,-0.054695781,0.945304219
TMA,BTY,Acetone,-0.055068135,0.944931865
TMA,CB,Toluene,-0.079477409,0.920522591
TMA,CB,Ethanol,-0.11375,0.88625
TMA,CB,Air,-0.13911007,0.86088993
TMA,CB,Water,-0.223,0.777
TMA,CB,Acetone,-0.2372,0.7628
TMA,CB,Chloroform,-0.32755,0.67245
TMA,MPD,Water,-0.479485554,0.520514446
TMA,DHB,Water,-0.49068323,0.50931677
TMA,THB,Water,-0.521665966,0.478334034
TMA,EG,Water,-0.765649797,0.234350203
DEZ,CB,0.01 M HCl,,0.061
DEZ,CB,0.1 M KOH,,0.044
DEZ,THB,0.01 M HCl,,0.034
DEZ,THB,0.1 M KOH,,0.058
DEZ,MPD,0.01 M HCl,,0.032
DEZ,MPD,0.1 M KOH,,0.037
DEZ,EG,0.01 M HCl,,0.05
DEZ,EG,0.1 M KOH,,0.031
DEZ,BTY,0.01 M HCl,,0.06
DEZ,BTY,0.1 M KOH,,0.063
DEZ,DHB,0.01 M HCl,,0.041
DEZ,DHB,0.1 M KOH,,0.047
TMA,CB,0.01 M HCl,,0.046
TMA,CB,0.1 M KOH,,0.062
TMA,THB,0.01 M HCl,,0.025
TMA,THB,0.1 M KOH,,0.029
TMA,MPD,0.01 M HCl,,0.068
TMA,MPD,0.1 M KOH,,0.038
TMA,EG,0.01 M HCl,,0.061
TMA,EG,0.1 M KOH,,0.043
TMA,BTY,0.01 M HCl,,0.042
TMA,BTY,0.1 M KOH,,0.05
TMA,DHB,0.01 M HCl,,0.034
TMA,DHB,0.1 M KOH,,0.062
