wavenumber,label,spectrum_info,asdep_intensity,asdep_shape,uv_intensity,uv_shape,measured_asdep,measured_uv,change_type,notes
2120,C≡C stretch,Both spectra,,,,,0.5206801470588235,0.44538709483428446,STABLE,
3290,≡C-H stretch,Both spectra,,,,,0.38564644607843135,0.022154441710791773,STABLE,
1050,Al-O-C asym.,Both spectra,,,,,0.7645526960784312,0.5731476150363931,STABLE,
950,Al-O-C sym.,Both spectra,,,,,0.0899203431372549,0.06730097127869117,STABLE,
780,Al-O-Al,Both spectra,,,,,0.10485600490196079,0.21289128681399613,STABLE,
650,Al-O stretch,Both spectra,,,,,0.366344975490196,0.9661115810554481,STABLE,
2920,CH₂ asym.,Both spectra,,,,,0.2939644607843137,0.12563155998464468,STABLE,
2850,CH₂ sym.,Both spectra,,,,,0.5223651960784313,0.15397030753409574,STABLE,
1460,CH₂ bend,Both spectra,,,,,0.24211090686274508,0.12126266973743761,STABLE,
1650,C=C stretch,Both spectra,,,,,0.15747549019607843,0.18325368000186187,STABLE,
3400,O-H stretch,Both spectra,,,,,0.2423406862745098,0.02179723179793094,STABLE,
3641,Peak 12,Both spectra,medium,sharp,weak,sharp,0.24011948529411759,0.1334247155607437,DECREASES,Auto-added from Both spectra
3217,Peak 13,Both spectra,medium,sharp,very weak,sharp,0.43037683823529405,0.03459333348203304,DECREASES,Auto-added from Both spectra
2911,Peak 14,Both spectra,medium,sharp,weak,sharp,0.31862745098039214,0.12752080982127473,DECREASES,Auto-added from Both spectra
2852,Peak 15,Both spectra,strong,sharp,medium,sharp,0.5239736519607843,0.15503301056720017,DECREASES,Auto-added from Both spectra
2546,Peak 16,Both spectra,medium,sharp,medium,sharp,0.3729319852941176,0.24666162764375868,STABLE,Auto-added from Both spectra
2444,Peak 17,Both spectra,medium,sharp,medium,sharp,0.37454044117647056,0.24229273739655163,STABLE,Auto-added from Both spectra
2154,Peak 18,Both spectra,very strong,sharp,strong,sharp,0.8018535539215685,0.6968934793356628,DECREASES,Auto-added from Both spectra
2012,Peak 19,Both spectra,strong,sharp,strong,sharp,0.6977634803921569,0.6803625432651498,STABLE,Auto-added from Both spectra
1608,Peak 20,Both spectra,medium,sharp,medium,sharp,0.17279411764705882,0.339471025868211,STABLE,Auto-added from Both spectra
1451,Peak 21,Both spectra,medium,sharp,weak,sharp,0.2978707107843137,0.1433432772030516,DECREASES,Auto-added from Both spectra
1365,Peak 22,Both spectra,strong,sharp,medium,sharp,0.5702359068627451,0.2936567173299317,DECREASES,Auto-added from Both spectra
1267,Peak 23,Both spectra,weak,sharp,weak,sharp,0.13082107843137256,0.08111611070904858,STABLE,Auto-added from Both spectra
1228,Peak 24,As-deposited only,weak,sharp,very weak,sharp,0.12170649509803921,0.03211369307145607,DISAPPEARS,Auto-added from As-deposited only
1142,Peak 25,Both spectra,strong,sharp,not visible,sharp,0.7696078431372548,0.4172845035144121,DISAPPEARS,Auto-added from Both spectra
1063,Peak 26,Both spectra,strong,sharp,strong,sharp,0.7734375,0.5338276028115296,STABLE,Auto-added from Both spectra
1016,Peak 27,Both spectra,very strong,sharp,strong,sharp,0.9450827205882352,0.713424415406176,DECREASES,Auto-added from Both spectra
851,Peak 28,Both spectra,weak,sharp,medium,sharp,0.12660845588235292,0.23792384714934459,INCREASES,Auto-added from Both spectra
886,Peak 29,As-deposited only,weak,sharp,weak,sharp,0.12783394607843138,0.08938157874430515,DISAPPEARS,Auto-added from As-deposited only
796,Peak 30,Both spectra,weak,sharp,not visible,sharp,0.10776654411764705,0.19919422549842808,DISAPPEARS,Auto-added from Both spectra
690,Peak 31,Both spectra,medium,sharp,very strong,sharp,0.42509191176470584,0.9592630503976641,INCREASES,Auto-added from Both spectra
565,Peak 32,Both spectra,medium,sharp,strong,sharp,0.1956188725490196,0.5922762696322725,INCREASES,Auto-added from Both spectra
