Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
500.4454,0.08243,400.163,0.01422
500.9275,0.08278,400.64512,0.01662
501.4096,0.08373,401.12725,0.04617
501.8917,0.08534,401.60937,0.09469
502.3739,0.0874,402.0915,0.15388
502.856,0.08964,402.57362,0.21843
503.3381,0.09177,403.05575,0.28592
503.8203,0.0936,403.53787,0.35511
504.3024,0.09506,404.02,0.42272
504.7845,0.09613,404.50212,0.48182
505.2666,0.09679,404.98425,0.52229
505.7487,0.09706,405.46637,0.53472
506.2309,0.097,405.9485,0.51507
506.713,0.09682,406.43062,0.46879
507.1951,0.09689,406.91275,0.40981
507.6772,0.09764,407.395,0.35561
508.1594,0.09942,407.87712,0.32015
508.6415,0.10234,408.35925,0.30914
509.1236,0.10615,408.84137,0.3189
509.6057,0.11034,409.3235,0.33867
510.0879,0.11424,409.80562,0.35535
510.57,0.11733,410.28775,0.35941
511.0521,0.11937,410.77,0.3487
511.5342,0.12054,411.25212,0.32836
512.0164,0.12126,411.73425,0.3071
512.4985,0.12204,412.21637,0.29247
512.9806,0.12321,412.6985,0.28766
513.4627,0.12487,413.18062,0.29082
513.9448,0.12683,413.66275,0.29711
514.427,0.12885,414.145,0.30141
514.9091,0.13071,414.62712,0.30138
515.3912,0.13237,415.10925,0.29834
515.8734,0.13393,415.59137,0.29575
516.3555,0.13555,416.0735,0.29711
516.8376,0.13729,416.55562,0.30423
517.3197,0.1391,417.03775,0.31684
517.8019,0.14085,417.52,0.33316
518.284,0.14245,418.00212,0.3509
518.7661,0.14398,418.48425,0.36829
519.2482,0.14566,418.96637,0.38446
519.7303,0.1478,419.4485,0.39826
520.2125,0.15064,419.93062,0.40745
520.6946,0.15423,420.41275,0.40824
521.1767,0.15839,420.894,0.39682
521.6588,0.16276,421.37612,0.37126
522.141,0.16699,421.85825,0.333
522.6231,0.17081,422.34037,0.28725
523.1052,0.17418,422.8225,0.24134
523.5873,0.17713,423.30462,0.20245
524.0695,0.17975,423.78675,0.17566
524.5516,0.18199,424.269,0.16272
525.0337,0.18375,424.75112,0.16243
525.5159,0.18483,425.23325,0.17168
525.998,0.18521,425.71537,0.18683
526.4801,0.18507,426.1975,0.20495
526.9622,0.18483,426.67962,0.22426
527.4443,0.18501,427.16175,0.24354
527.9265,0.18598,427.644,0.26145
528.4086,0.18784,428.12612,0.27599
528.8907,0.19036,428.60825,0.28468
529.3728,0.19311,429.09037,0.28573
529.855,0.19562,429.5725,0.27866
530.3371,0.19761,430.05462,0.2653
530.8192,0.19908,430.53675,0.24903
531.3013,0.20027,431.019,0.23378
531.7834,0.20147,431.50112,0.22258
532.2656,0.20288,431.98325,0.21697
532.7477,0.20449,432.46537,0.21697
533.2299,0.20612,432.9475,0.22142
533.712,0.20755,433.42962,0.22899
534.1941,0.20869,433.91175,0.23853
534.6762,0.20967,434.394,0.24916
535.1583,0.21082,434.87612,0.25991
535.6404,0.21252,435.35825,0.26955
536.1226,0.21501,435.84037,0.27647
536.6047,0.2183,436.3225,0.27973
537.0868,0.22218,436.80462,0.27954
537.569,0.2263,437.28675,0.27789
538.0511,0.23031,437.769,0.27809
538.5332,0.23404,438.25112,0.2835
539.0153,0.23746,438.73325,0.29599
539.4974,0.24065,439.21537,0.31509
539.9796,0.24366,439.6975,0.33769
540.4617,0.2465,440.17962,0.35897
540.9438,0.24904,440.66175,0.37382
541.426,0.25119,441.143,0.37866
541.9081,0.25291,441.62512,0.37267
542.3902,0.25425,442.10725,0.35791
542.8723,0.25533,442.58937,0.33817
543.3544,0.25625,443.0715,0.31756
543.8365,0.25701,443.55362,0.29909
544.3187,0.25752,444.03575,0.28455
544.8008,0.25767,444.518,0.27451
545.283,0.25745,445.00012,0.2688
545.7651,0.25704,445.48225,0.2669
546.2472,0.25676,445.96437,0.26797
546.7293,0.25701,446.4465,0.27079
547.2114,0.25802,446.92862,0.27378
547.6936,0.25976,447.41075,0.27515
548.1757,0.26193,447.893,0.27361
548.6578,0.26405,448.37512,0.26871
549.14,0.26569,448.85725,0.26129
549.6221,0.26668,449.33937,0.25306
550.1042,0.26719,449.8215,0.2458
550.5863,0.26763,450.30362,0.24037
551.0684,0.26852,450.78575,0.23628
551.5505,0.27019,451.268,0.23193
552.0327,0.27271,451.75012,0.22556
552.5148,0.27582,452.23225,0.21621
552.9969,0.27909,452.71437,0.2044
553.4791,0.28209,453.1965,0.19205
553.9612,0.28452,453.67862,0.18151
554.4433,0.28629,454.16075,0.17431
554.9254,0.28745,454.643,0.17049
555.4076,0.28809,455.12512,0.16853
555.8896,0.28831,455.60725,0.16627
556.3718,0.28816,456.08937,0.16199
556.8539,0.28775,456.5715,0.15549
557.3361,0.28724,457.05362,0.1485
557.8182,0.28688,457.53575,0.14391
