Name		O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s	C 1s				
Position		530.65	531.93	532.95				Position		284.71	289.11	290.48	285.93	287.20				
FWHM		1.88	1.88	1.88				FWHM		1.61	1.61	1.61	1.61	1.61				
Area		21507.22	34171.49	4553.06				Area		4057.69	435.18	705.72	1346.64	684.13				
Lineshape		GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)	GL(30)				

B.E.	Cycle 15:O 1s/48:CPS	O 1s/48:O 1s	O 1s/48:O 1s	O 1s/48:O 1s	Background	Envelope		B.E.	Cycle 15:C 1s/49:CPS	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	Background	Envelope		
5.449600e+002	2.180995e+003	2.180995e+003	2.180995e+003	2.180995e+003	2.180995e+003	2.180995e+003		3.019600e+002	8.805031e+002	8.805031e+002	8.805031e+002	8.805031e+002	8.805031e+002	8.805031e+002	8.805031e+002	8.805031e+002		
5.448600e+002	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003		3.018600e+002	8.882043e+002	8.882043e+002	8.882043e+002	8.882043e+002	8.882043e+002	8.882043e+002	8.882043e+002	8.882043e+002		
5.447600e+002	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003	2.177979e+003		3.017600e+002	8.586831e+002	8.586831e+002	8.586831e+002	8.586831e+002	8.586831e+002	8.586831e+002	8.586831e+002	8.586831e+002		
5.446600e+002	2.162896e+003	2.162896e+003	2.162896e+003	2.162896e+003	2.162896e+003	2.162896e+003		3.016600e+002	8.554743e+002	8.554743e+002	8.554743e+002	8.554743e+002	8.554743e+002	8.554743e+002	8.554743e+002	8.554743e+002		
5.445600e+002	2.226998e+003	2.226998e+003	2.226998e+003	2.226998e+003	2.226998e+003	2.226998e+003		3.015600e+002	8.708767e+002	8.708767e+002	8.708767e+002	8.708767e+002	8.708767e+002	8.708767e+002	8.708767e+002	8.708767e+002		
