filename,condition,dose,step_height,mean_line_height,std_line_height,num_lines,mean_line_width_pixels,mean_line_width_nm,grating_angle,resist_coverage,validation_passed,validation_warnings,processing_successful,concentration,concentration_unit,exposure_time
1000.spm,0.005M_10s,1000.0,23.724268076594754,22.493135408336126,2.529622874611315,3,98.0,1914.0625,0,66.66666666666666,True,[],True,0.005,M,10
10000.spm,0.005M_10s,10000.0,27.174594465111575,27.533239173039902,1.5540633252277922,3,47.333333333333336,1848.9583333333335,0,72.41379310344827,True,[],True,0.005,M,10
1500.spm,0.005M_10s,1500.0,23.50101146292686,23.577936265216234,1.3750729132538666,3,53.0,2070.3125,0,70.25862068965517,True,[],True,0.005,M,10
15000.spm,0.005M_10s,15000.0,22.75511035979783,23.430762879121833,0.6786470382110643,2,54.0,2109.375,0,72.84482758620689,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
2000.spm,0.005M_10s,2000.0,28.276088843405226,28.476057632520263,0.7044841459336537,3,53.333333333333336,2083.3333333333335,0,71.55172413793103,True,[],True,0.005,M,10
20000.spm,0.005M_10s,20000.0,16.45926706167764,16.4617420083999,0.8871328034636492,3,49.666666666666664,1940.1041666666665,0,66.37931034482759,True,[],True,0.005,M,10
250.spm,0.005M_10s,250.0,7.644780026879629,7.455679231996606,0.3198643759142801,2,49.0,1914.0625,0,65.51724137931035,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
3000.spm,0.005M_10s,3000.0,34.17229545791781,34.17364403387778,1.2348338837508877,2,55.0,2148.4375,0,75.0,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
500.spm,0.005M_10s,500.0,20.145247164804072,20.213492544964836,0.02606655592514251,2,52.0,2031.25,0,70.25862068965517,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
5000.spm,0.005M_10s,5000.0,32.6377780181004,31.805791060718214,0.958491086226319,2,50.5,1972.65625,0,71.98275862068965,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
7000.spm,0.005M_10s,7000.0,18.866016888613203,20.54527974303052,0.0,1,50.0,1953.125,0,66.37931034482759,False,['Only 1 lines detected (minimum: 3)'],True,0.005,M,10
750.spm,0.005M_10s,750.0,18.649336587539725,19.01809930671658,0.35390255868579423,2,99.0,1933.59375,0,66.23376623376623,False,['Only 2 lines detected (minimum: 3)'],True,0.005,M,10
10000.spm,0.01M_10s,10000.0,28.845416866407554,27.945438539263648,1.2737420563828679,3,52.333333333333336,2044.2708333333335,0,69.39655172413794,True,[],True,0.01,M,10
15000.spm,0.01M_10s,15000.0,33.90833306006669,35.11798783241872,0.0,1,53.0,2070.3125,0,70.25862068965517,False,['Only 1 lines detected (minimum: 3)'],True,0.01,M,10
20000.spm,0.01M_10s,20000.0,47.58823580591722,47.494308526549815,0.9913275651529219,2,54.5,2128.90625,0,72.41379310344827,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,10
7000.spm,0.01M_10s,7000.0,17.780042271538427,18.318058522685106,0.047293440000835574,2,50.5,1972.65625,0,67.24137931034483,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,10
10000.spm,0.01M_5s,10000.0,37.839224412594746,38.73835797029997,1.285520350207623,2,55.0,2148.4375,0,77.15517241379311,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
15000.spm,0.01M_5s,15000.0,30.8414733664639,32.19753423302718,0.0,1,54.0,2109.375,0,75.86206896551724,False,['Only 1 lines detected (minimum: 3)'],True,0.01,M,5
2000.spm,0.01M_5s,2000.0,20.536376641972737,20.624265985253032,0.15177444351385283,2,51.0,1992.1875,0,71.12068965517241,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
20000.spm,0.01M_5s,20000.0,29.908684938017828,30.201772932563358,0.40480415915821766,2,55.5,2167.96875,0,77.58620689655173,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
3000.spm,0.01M_5s,3000.0,32.26317036820473,33.24407389741327,0.7335116929004464,2,52.5,2050.78125,0,75.0,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
5000.spm,0.01M_5s,5000.0,35.73878706543972,35.173737162904516,1.5286972287979097,2,54.0,2109.375,0,74.13793103448276,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
7000.spm,0.01M_5s,7000.0,42.99119175187841,43.10387005671143,0.9706822468923519,2,55.5,2167.96875,0,77.15517241379311,False,['Only 2 lines detected (minimum: 3)'],True,0.01,M,5
