Position_pixels,Intensity
0,38865.8847
1,39389.1077
2,39269.3872
3,39656.04
4,39455.2643
5,38902.2443
6,39558.3126
7,39536.4969
8,39332.706
9,39416.7764
10,39126.432
11,39095.7481
12,39506.5224
13,39045.7315
14,39147.0062
15,38741.0207
16,39126.0773
17,39745.4313
18,39603.0083
19,39181.7695
20,39743.4803
21,38596.1146
22,38811.2567
23,38739.6018
24,39093.265
25,39159.0669
26,39587.755
27,38639.746
28,38757.6929
29,40076.7467
30,39497.8316
31,39554.7654
32,39094.5066
33,39452.2491
34,39345.1215
35,38930.7999
36,38811.2567
37,39292.0897
38,38979.3975
39,39073.0455
40,38627.6853
41,39408.4403
42,38974.0766
43,40001.5445
44,39205.3589
45,39712.9738
46,40020.3451
47,39001.3906
48,39165.8068
49,39412.8744
50,39518.5832
51,39245.6204
52,39223.0952
53,39519.2926
54,39807.3313
55,38647.55
56,39134.9455
57,38996.2471
58,38949.0683
59,39244.5562
60,39588.6418
61,39563.8109
62,39937.1615
63,39290.6708
64,40186.5349
65,39645.2208
66,39669.8744
67,38956.5176
68,39118.2733
69,39355.0538
70,39527.0966
71,39382.8999
72,39208.3741
73,39343.1705
74,39860.7177
75,39087.2346
76,39551.7502
77,39404.893
78,39744.8992
79,39665.2629
80,39042.7164
81,39761.9262
82,38883.7985
83,39290.1387
84,39637.7716
85,39996.2236
86,39123.9489
87,38756.4513
88,39337.4948
89,39207.3099
90,39161.9048
91,38554.7888
92,38740.666
93,39826.8413
94,39173.0787
95,38880.2512
96,39679.0973
97,39268.1456
98,39573.5659
99,39475.1291
100,39716.521
101,39649.8323
102,40253.5783
103,39000.5038
104,39428.6598
105,38643.648
106,39195.9586
107,39124.481
108,39488.0766
109,39011.6777
110,39038.4596
111,39609.7481
112,39694.1732
113,38669.3658
114,39545.0104
115,38368.3796
116,39670.2291
117,39006.1794
118,39278.6101
119,39310.0035
120,39439.6563
121,38916.4334
122,38749.7115
123,39340.8647
124,39692.5769
125,38996.0697
126,39830.7433
127,39246.1525
128,39925.8102
129,39603.363
130,38548.4037
131,38899.4065
132,39363.7447
133,39239.4127
134,39314.9696
135,39091.4914
136,38948.0041
137,39734.7895
138,39322.7736
139,39603.8951
140,39340.51
141,39129.8019
142,39252.715
143,38237.3078
144,38421.9434
145,39338.9137
146,39514.8585
147,38958.1139
148,39078.3665
149,38791.5694
150,39057.6149
151,38850.9862
152,39206.9551
153,38733.0393
154,39885.726
155,39455.7964
156,39258.9227
157,39354.167
158,38822.4306
159,39352.7481
160,39416.2443
161,39655.5079
162,39101.4237
163,39469.0987
164,39233.0276
165,39204.2947
166,39164.3879
167,38752.7267
168,39154.1008
169,39467.5024
170,39480.9821
171,39108.1636
172,39365.6957
173,39247.0393
174,38585.4727
175,39094.8613
176,38932.3961
177,39473.7101
178,38324.9255
179,39166.3389
180,38674.864
181,38839.8123
182,39339.2685
183,38973.5445
184,39611.6991
185,39758.7336
186,38799.3734
187,39834.1132
188,39907.7191
189,39425.8219
190,39972.1021
191,39362.8578
192,39541.1084
193,39520.8889
194,39237.8164
195,39431.1429
196,39280.2063
197,39121.9979
198,39022.1422
199,39403.6515
200,39182.6563
201,39636.8847
202,39760.6846
203,39080.6722
204,40132.2616
205,41097.4748
206,39383.6094
207,39750.2202
208,39826.3092
209,40281.0697
210,40362.657
211,39998.352
212,39948.8675
213,39828.2602
214,40854.4865
215,40609.3699
216,40395.6467
217,39693.9959
218,39722.9061
219,40058.833
220,39953.6563
221,40126.9406
222,39752.7032
223,40054.3989
224,39974.4079
225,40866.3699
226,39939.2899
227,40160.6398
228,39823.8261
229,40690.9572
230,40239.744
231,40405.0469
232,40213.1394
233,40761.0159
234,39502.7978
235,40971.5466
236,40792.9413
237,41331.2402
238,40073.3768
239,40034.8889
240,40233.0041
241,40337.6487
242,39695.2374
243,40750.5514
244,40275.0393
245,40106.7212
246,40058.1235
247,39918.1836
248,40102.8192
249,40100.8682
250,40217.0414
251,41008.6156
252,41179.0621
253,40560.9496
254,39776.8247
255,40071.6032
256,40594.294
257,40472.7999
258,40911.9524
259,40372.412
260,40441.0518
261,40187.2443
262,40684.9268
263,40905.2126
264,40203.9165
265,40467.479
266,40349.3547
267,40185.1159
268,40888.5404
269,40278.4092
270,40500.1139
271,40548.3568
272,40967.6446
273,40352.3699
274,40797.0207
275,40521.7522
276,40545.8737
277,40530.7978
278,40601.2112
279,40311.0442
280,40148.9337
281,39639.8999
282,40532.9262
283,40057.2367
284,40008.107
285,40414.2698
286,40331.6184
287,40045.3533
288,41042.4921
289,40478.2981
290,40010.5901
291,40848.6335
292,40074.2636
293,39597.51
294,40264.7522
295,40135.8088
296,40636.6839
297,40464.4638
298,40562.5459
299,40387.1332
300,40890.1366
301,40437.3271
302,40568.7536
303,39735.1442
304,39958.2678
305,40060.0745
306,41393.1401
307,40140.4203
308,40094.6605
309,40934.8323
310,40611.6756
311,40576.3803
312,40491.4231
313,40507.7405
314,40551.1946
315,40118.0725
316,40636.1518
317,40440.5197
318,40564.3195
319,39930.0669
320,40329.49
321,40630.8309
322,40251.2726
323,40128.5369
324,40476.7019
325,40315.1235
326,40582.7654
327,40652.2919
328,40686.5231
329,41027.5935
330,40674.9945
331,40357.1587
332,40559.5307
333,40296.5003
334,40080.8261
335,40524.5901
336,40571.0594
337,40317.2519
338,40863
339,40095.3699
340,40610.6115
341,40520.8654
342,40175.893
343,40095.902
344,40872.5776
345,40209.5921
346,39994.8047
347,41138.9779
348,40195.7578
349,40141.6618
350,39933.4369
351,40765.45
352,39515.3906
353,40296.323
354,39078.8986
355,39732.6611
356,40311.931
357,40347.049
358,40435.1988
359,40491.6004
360,40345.6301
361,40515.7219
362,40230.3437
363,40418.8813
364,40549.421
365,40268.2995
366,39995.3368
367,40422.9607
368,39742.4161
369,40994.6039
370,40246.3064
371,39748.9786
372,40466.9469
373,40857.8565
374,40650.873
375,40740.087
376,41151.9255
377,40962.3237
378,40966.2257
379,40628.7026
380,40047.6591
381,39869.5859
382,40431.2968
383,39911.089
384,39714.57
385,40028.3264
386,40677.6549
