 ,Filename,Category,Dose_uC_cm2,Center_Mean,Center_StdDev,Corner_Average,Corner_TL,Corner_TR,Corner_BL,Corner_BR,Gradient_Ratio,Uniformity,Norm_Intensity,Log_Dose,Corner_Mean,Corner_Std
1,Dose_10000uC.tif,Feature,10000,158.812,19.314,160.91,159.608,162.2,160.488,161.344,0.987,0.987,0.39909935265972424,4.0,160.91,1.114412251667511
2,Dose_1000uC.tif,Feature,1000,177.335,19.761,141.619,140.356,143.472,141.238,141.41,1.252,0.799,0.6734857125927681,3.0,141.619,1.3187898493189436
3,Dose_100uC.tif,Feature,100,135.004,17.908,134.045,132.922,132.592,135.509,135.156,1.007,0.993,0.04642481520434897,2.0,134.04475000000002,1.4999949722137895
4,Dose_15000uC.tif,Feature,15000,144.748,18.677,147.376,148.439,149.988,145.325,145.753,0.982,0.982,0.190765402106448,4.176091259055681,147.37625,2.2206037279682955
5,Dose_1500uC.tif,Feature,1500,195.186,20.493,154.25,155.212,160.893,149.751,151.143,1.265,0.79,0.9379175492911845,3.1760912590556813,154.24975,4.9983111397751125
6,Dose_20000uC.tif,Feature,20000,123.58,18.582,123.269,126.705,121.672,126.762,117.938,1.003,0.997,-0.12280207978431874,4.301029995663981,123.26925,4.280853293055796
7,Dose_2000uC.tif,Feature,2000,191.748,20.429,187.104,188.781,188.292,187.141,184.203,1.025,0.976,0.8869894973854561,3.3010299956639813,187.10424999999998,2.052709002757089
8,Dose_250uC.tif,Feature,250,137.253,17.79,135.028,134.782,133.972,135.537,135.82,1.016,0.984,0.07973987882738058,2.3979400086720375,135.02775000000003,0.8290550343614053
9,Dose_3000uC.tif,Feature,3000,199.377,21.246,198.342,193.637,201.366,197.946,200.417,1.005,0.995,1.0,3.4771212547196626,198.34150000000002,3.4517648143135946
10,Dose_5000uC.tif,Feature,5000,190.068,19.652,192.486,189.148,195.755,191.422,193.62,0.987,0.987,0.8621031892988875,3.6989700043360187,192.48625,2.842924359997408
11,Dose_500uC.tif,Feature,500,140.392,18.087,137.14,137.135,137.288,136.728,137.41,1.024,0.977,0.1262387604248447,2.6989700043360187,137.14025,0.2969695551174645
12,Dose_7000uC.tif,Feature,7000,183.644,21.437,179.418,151.194,190.295,183.66,192.521,1.024,0.977,0.7669426874250077,3.845098040014257,179.4175,19.18842078789532
