 ,Filename,DoseGroup,Dose,Width,Height,Mean,StdDev,Min,Max,Center,Corner_TL,Corner_TR,Corner_BL,Corner_BR,Margin,BoxSize
1,Dose_1000uC.tif,LowDose,1000,116,118,148.014,22.902,79,246,180.049,136.707,140.653,137.262,138.800,12,15
2,Dose_100uC.tif,LowDose,100,150,144,134.588,18.155,70,238,135.164,132.591,132.600,134.320,137.387,12,15
3,Dose_1500uC.tif,LowDose,1500,130,126,161.024,28.945,76,253,195.253,146.818,147.191,143.107,138.702,12,15
4,Dose_2000uC.tif,LowDose,2000,120,128,181.331,26.223,78,251,190.222,188.498,189.804,183.893,181.298,12,15
5,Dose_250uC.tif,LowDose,250,136,142,135.688,18.104,71,237,136.493,136.253,134.178,138.853,135.147,12,15
6,Dose_500uC.tif,LowDose,500,132,128,137.461,18.267,73,209,140.151,136.324,136.991,135.831,138.533,12,15
7,Dose_10000uC.tif,HighDose,10000,119,118,161.126,19.720,90,239,158.284,159.169,163.698,159.818,162.431,12,15
8,Dose_15000uC.tif,HighDose,15000,120,118,147.616,18.929,83,230,143.649,147.764,149.787,145.076,146.244,12,15
9,Dose_20000uC.tif,HighDose,20000,120,117,124.079,18.422,57,220,121.422,128.178,121.600,127.600,119.142,12,15
10,Dose_3000uC.tif,HighDose,3000,121,119,195.006,22.482,97,255,199.796,193.062,201.444,197.311,199.973,12,15
11,Dose_5000uC.tif,HighDose,5000,120,119,191.927,20.651,106,255,189.204,190.511,196.284,191.929,193.787,12,15
12,Dose_7000uC.tif,HighDose,7000,120,122,179.659,25.170,91,254,183.716,155.978,191.351,181.942,190.293,12,15
