 ,Filename,DoseGroup,Dose_uC_cm2,Overall_Mean,Overall_StdDev,CV,Center_Mean,Center_StdDev,Corner_Mean,Valid_Corners,Edge_Mean,Gradient_Ratio_C_C,Edge_Ratio_C_E,Uniformity,Corner_TL,Corner_TR,Corner_BL,Corner_BR,Min,Max,Area_pixels,Width,Height,Margin_px,Box_size_px
1,Dose_1000uC.tif,LowDose,1000,148.0144,22.9023,0.1547,180.3264,19.0575,137.1875,4,145.7413,1.3145,1.2373,0.7608,136.4306,139.4653,134.9375,137.9167,79,246,13688,116,118,12,12
2,Dose_100uC.tif,LowDose,100,134.5879,18.1546,0.1349,135.3571,18.1689,134.6046,4,133.7283,1.0056,1.0122,0.9944,133.8724,132.3265,135.7602,136.4592,70,238,21600,150,144,14,14
3,Dose_1500uC.tif,LowDose,1500,161.0244,28.9454,0.1798,195.4438,20.2284,144.2692,4,164.9985,1.3547,1.1845,0.7382,146.787,148.5917,142.787,138.9112,76,253,16380,130,126,13,13
4,Dose_2000uC.tif,LowDose,2000,181.3309,26.2226,0.1446,188.5347,18.922,184.2812,4,188.9878,1.0231,0.9976,0.9774,185.9097,188.8264,182.375,180.0139,78,251,15360,120,128,12,12
5,Dose_250uC.tif,LowDose,250,135.6881,18.1039,0.1334,136.2143,18.7675,135.6607,4,136.2781,1.0041,0.9995,0.9959,136.4184,134.5255,136.0051,135.6939,71,237,19312,136,142,14,14
6,Dose_500uC.tif,LowDose,500,137.4612,18.2673,0.1329,140.8994,18.2083,137.3891,4,138.6849,1.0256,1.016,0.9751,136.6864,138.1124,135.8994,138.858,73,209,16896,132,128,13,13
7,Dose_10000uC.tif,HighDose,10000,161.1256,19.7197,0.1224,157.9583,19.454,160.4427,4,157.3247,0.9845,1.004,0.9843,158.8333,162.2986,158.3611,162.2778,90,239,14042,119,118,12,12
8,Dose_15000uC.tif,HighDose,15000,147.6162,18.9289,0.1282,144.0972,18.8466,146.0903,4,146.1319,0.9864,0.9861,0.9862,146.4306,151.3958,143.6181,142.9167,83,230,14160,120,118,12,12
9,Dose_20000uC.tif,HighDose,20000,124.0793,18.4216,0.1485,121.5139,17.6056,123.8698,4,123.7465,0.981,0.982,0.9806,126.4792,121.9653,127.9583,119.0764,57,220,14040,120,117,12,12
10,Dose_3000uC.tif,HighDose,3000,195.006,22.4816,0.1153,199.0833,21.7103,197.5243,4,198.8003,1.0079,1.0014,0.9922,193.7014,200.6597,196.3542,199.3819,97,255,14399,121,119,12,12
11,Dose_5000uC.tif,HighDose,5000,191.9271,20.6513,0.1076,189.375,20.2695,194.0955,4,192.099,0.9757,0.9858,0.9751,191.2014,197.9306,191.5417,195.7083,106,255,14280,120,119,12,12
12,Dose_7000uC.tif,HighDose,7000,179.6592,25.1702,0.1401,184.375,21.3364,181.3542,4,169.6233,1.0167,1.087,0.9836,161.6319,190.2222,183.7639,189.7986,91,254,14640,120,122,12,12
