 ,Filename,Category,Dose_uC_cm2,Center_Mean,Center_StdDev,Corner_Average,Corner_TL,Corner_TR,Corner_BL,Corner_BR,Gradient_Ratio,Uniformity
1,Dose_10000uC.tif,Feature,10000,158.812,19.314,160.910,159.608,162.200,160.488,161.344,0.987,0.987
2,Dose_1000uC.tif,Feature,1000,177.335,19.761,141.619,140.356,143.472,141.238,141.410,1.252,0.799
3,Dose_100uC.tif,Feature,100,135.004,17.908,134.045,132.922,132.592,135.509,135.156,1.007,0.993
4,Dose_15000uC.tif,Feature,15000,144.748,18.677,147.376,148.439,149.988,145.325,145.753,0.982,0.982
5,Dose_1500uC.tif,Feature,1500,195.186,20.493,154.250,155.212,160.893,149.751,151.143,1.265,0.790
6,Dose_20000uC.tif,Feature,20000,123.580,18.582,123.269,126.705,121.672,126.762,117.938,1.003,0.997
7,Dose_2000uC.tif,Feature,2000,191.748,20.429,187.104,188.781,188.292,187.141,184.203,1.025,0.976
8,Dose_250uC.tif,Feature,250,137.253,17.790,135.028,134.782,133.972,135.537,135.820,1.016,0.984
9,Dose_3000uC.tif,Feature,3000,199.377,21.246,198.342,193.637,201.366,197.946,200.417,1.005,0.995
10,Dose_5000uC.tif,Feature,5000,190.068,19.652,192.486,189.148,195.755,191.422,193.620,0.987,0.987
11,Dose_500uC.tif,Feature,500,140.392,18.087,137.140,137.135,137.288,136.728,137.410,1.024,0.977
12,Dose_7000uC.tif,Feature,7000,183.644,21.437,179.418,151.194,190.295,183.660,192.521,1.024,0.977
13,Dose_10000uC_Halo.tif,Halo,10000,158.496,19.890,167.048,164.107,170.547,165.467,168.071,0.949,0.946
14,Dose_15000uC_Halo.tif,Halo,15000,145.256,19.087,163.224,161.179,169.146,158.346,164.227,0.890,0.876
15,Dose_20000uC_Halo.tif,Halo,20000,123.371,18.162,149.363,157.573,147.812,150.898,141.167,0.826,0.789
16,Background.tif,Background,-1,131.870,18.154,132.968,132.885,133.168,132.851,132.969,0.992,0.992
