pixel,y_um,intensity,bg_mean,bg_std
0,0,38654.5175,39705.563,15211.6848
1,0.01182,39254.1842,39705.563,15211.6848
2,0.02363,39404.3627,39705.563,15211.6848
3,0.03545,37462.0962,39705.563,15211.6848
4,0.04727,39248.9478,39705.563,15211.6848
5,0.05908,39656.9641,39705.563,15211.6848
6,0.0709,38924.0848,39705.563,15211.6848
7,0.08271,38830.0399,39705.563,15211.6848
8,0.09453,38586.2355,39705.563,15211.6848
9,0.1063,39143.1736,39705.563,15211.6848
10,0.1182,39413.1597,39705.563,15211.6848
11,0.13,39020.0147,39705.563,15211.6848
12,0.1418,38251.7376,39705.563,15211.6848
13,0.1536,39320.5811,39705.563,15211.6848
14,0.1654,38495.542,39705.563,15211.6848
15,0.1772,39596.8509,39705.563,15211.6848
16,0.1891,39802.9535,39705.563,15211.6848
17,0.2009,39948.3146,39705.563,15211.6848
18,0.2127,38893.7139,39705.563,15211.6848
19,0.2245,39475.1581,39705.563,15211.6848
20,0.2363,39675.1866,39705.563,15211.6848
21,0.2481,39160.7677,39705.563,15211.6848
22,0.26,38230.3733,39705.563,15211.6848
23,0.2718,40096.8174,39705.563,15211.6848
24,0.2836,38953.8272,39705.563,15211.6848
25,0.2954,39460.7058,39705.563,15211.6848
26,0.3072,39330.0065,39705.563,15211.6848
27,0.319,38713.793,39705.563,15211.6848
28,0.3309,38641.1125,39705.563,15211.6848
29,0.3427,39963.3953,39705.563,15211.6848
30,0.3545,39143.1736,39705.563,15211.6848
31,0.3663,39804.6292,39705.563,15211.6848
32,0.3781,38849.3097,39705.563,15211.6848
33,0.3899,39335.4523,39705.563,15211.6848
34,0.4018,39844.6349,39705.563,15211.6848
35,0.4136,38351.4377,39705.563,15211.6848
36,0.4254,39302.1491,39705.563,15211.6848
37,0.4372,39738.8606,39705.563,15211.6848
38,0.449,39521.4474,39705.563,15211.6848
39,0.4608,38445.0636,39705.563,15211.6848
40,0.4727,39289.163,39705.563,15211.6848
41,0.4845,39392.8427,39705.563,15211.6848
42,0.4963,39804.2103,39705.563,15211.6848
43,0.5081,38819.1483,39705.563,15211.6848
44,0.5199,39160.1394,39705.563,15211.6848
45,0.5317,38572.4116,39705.563,15211.6848
46,0.5436,38683.8411,39705.563,15211.6848
47,0.5554,39277.8525,39705.563,15211.6848
48,0.5672,39636.6471,39705.563,15211.6848
49,0.579,39549.5143,39705.563,15211.6848
50,0.5908,39968.4222,39705.563,15211.6848
51,0.6026,39355.3504,39705.563,15211.6848
52,0.6145,38556.7025,39705.563,15211.6848
53,0.6263,39249.5762,39705.563,15211.6848
54,0.6381,38289.8582,39705.563,15211.6848
55,0.6499,39827.8786,39705.563,15211.6848
56,0.6617,39341.5265,39705.563,15211.6848
57,0.6735,38235.4002,39705.563,15211.6848
58,0.6854,39238.4751,39705.563,15211.6848
59,0.6972,39831.0204,39705.563,15211.6848
60,0.709,39342.5738,39705.563,15211.6848
61,0.7208,38980.2184,39705.563,15211.6848
62,0.7326,39716.868,39705.563,15211.6848
63,0.7444,38987.7588,39705.563,15211.6848
64,0.7563,39240.7791,39705.563,15211.6848
65,0.7681,39634.1337,39705.563,15211.6848
66,0.7799,39252.5086,39705.563,15211.6848
67,0.7917,39853.6414,39705.563,15211.6848
68,0.8035,39896.37,39705.563,15211.6848
69,0.8153,38814.5403,39705.563,15211.6848
70,0.8271,39392.0049,39705.563,15211.6848
71,0.839,39313.6691,39705.563,15211.6848
72,0.8508,39704.0913,39705.563,15211.6848
73,0.8626,38729.2926,39705.563,15211.6848
74,0.8744,39555.379,39705.563,15211.6848
75,0.8862,39424.4703,39705.563,15211.6848
76,0.898,39386.978,39705.563,15211.6848
77,0.9099,39582.3985,39705.563,15211.6848
78,0.9217,39512.2315,39705.563,15211.6848
79,0.9335,39222.5566,39705.563,15211.6848
80,0.9453,39261.3056,39705.563,15211.6848
81,0.9571,38378.0383,39705.563,15211.6848
82,0.9689,39060.0204,39705.563,15211.6848
83,0.9808,39134.7954,39705.563,15211.6848
84,0.9926,39728.8068,39705.563,15211.6848
85,1.0044,40408.2755,39705.563,15211.6848
86,1.0162,39578.8378,39705.563,15211.6848
87,1.028,39418.815,39705.563,15211.6848
88,1.0398,39617.3773,39705.563,15211.6848
89,1.0517,38679.652,39705.563,15211.6848
90,1.0635,39543.859,39705.563,15211.6848
91,1.0753,39802.1157,39705.563,15211.6848
92,1.0871,39247.4817,39705.563,15211.6848
93,1.0989,39126.6267,39705.563,15211.6848
94,1.1107,39714.3545,39705.563,15211.6848
95,1.1226,39009.9609,39705.563,15211.6848
96,1.1344,39812.5884,39705.563,15211.6848
97,1.1462,38667.2942,39705.563,15211.6848
98,1.158,39506.5762,39705.563,15211.6848
99,1.1698,38911.0986,39705.563,15211.6848
100,1.1816,39102.1206,39705.563,15211.6848
101,1.1935,39654.0318,39705.563,15211.6848
102,1.2053,38633.7816,39705.563,15211.6848
103,1.2171,38919.4768,39705.563,15211.6848
104,1.2289,40140.1744,39705.563,15211.6848
105,1.2407,39087.8778,39705.563,15211.6848
106,1.2525,39436.4091,39705.563,15211.6848
107,1.2644,39825.784,39705.563,15211.6848
108,1.2762,40036.9136,39705.563,15211.6848
109,1.288,39004.0962,39705.563,15211.6848
110,1.2998,39575.0676,39705.563,15211.6848
111,1.3116,39206.4287,39705.563,15211.6848
112,1.3234,38906.7001,39705.563,15211.6848
113,1.3353,39423.8419,39705.563,15211.6848
114,1.3471,38730.9682,39705.563,15211.6848
115,1.3589,39620.3097,39705.563,15211.6848
116,1.3707,38708.7661,39705.563,15211.6848
117,1.3825,39825.9935,39705.563,15211.6848
118,1.3943,39183.5982,39705.563,15211.6848
119,1.4062,39117.6202,39705.563,15211.6848
120,1.418,38112.2412,39705.563,15211.6848
121,1.4298,38780.1899,39705.563,15211.6848
122,1.4416,39296.4939,39705.563,15211.6848
123,1.4534,39593.709,39705.563,15211.6848
124,1.4652,39926.7408,39705.563,15211.6848
125,1.4771,38960.3203,39705.563,15211.6848
126,1.4889,39085.1548,39705.563,15211.6848
127,1.5007,39673.511,39705.563,15211.6848
128,1.5125,39801.4874,39705.563,15211.6848
129,1.5243,39800.2306,39705.563,15211.6848
130,1.5361,38883.2412,39705.563,15211.6848
131,1.5479,39799.6023,39705.563,15211.6848
132,1.5598,40383.3504,39705.563,15211.6848
133,1.5716,39445.2062,39705.563,15211.6848
134,1.5834,39222.3472,39705.563,15211.6848
135,1.5952,39283.2983,39705.563,15211.6848
136,1.607,39202.2396,39705.563,15211.6848
137,1.6188,40931.7009,39705.563,15211.6848
138,1.6307,39266.542,39705.563,15211.6848
139,1.6425,39430.9633,39705.563,15211.6848
140,1.6543,40025.3936,39705.563,15211.6848
141,1.6661,39068.3985,39705.563,15211.6848
142,1.6779,39647.3293,39705.563,15211.6848
143,1.6897,40468.5982,39705.563,15211.6848
144,1.7016,40006.9617,39705.563,15211.6848
145,1.7134,39182.5509,39705.563,15211.6848
146,1.7252,39658.6398,39705.563,15211.6848
147,1.737,40202.3822,39705.563,15211.6848
148,1.7488,38491.1434,39705.563,15211.6848
149,1.7606,39472.4352,39705.563,15211.6848
150,1.7725,40750.3138,39705.563,15211.6848
151,1.7843,38928.6927,39705.563,15211.6848
152,1.7961,40016.3871,39705.563,15211.6848
153,1.8079,39945.8011,39705.563,15211.6848
154,1.8197,40328.2641,39705.563,15211.6848
155,1.8315,40244.273,39705.563,15211.6848
156,1.8434,40468.5982,39705.563,15211.6848
157,1.8552,39601.4588,39705.563,15211.6848
158,1.867,41025.7457,39705.563,15211.6848
159,1.8788,40606.4189,39705.563,15211.6848
160,1.8906,40499.3879,39705.563,15211.6848
161,1.9024,39891.9715,39705.563,15211.6848
162,1.9143,39872.0733,39705.563,15211.6848
163,1.9261,40802.4678,39705.563,15211.6848
164,1.9379,39589.7294,39705.563,15211.6848
165,1.9497,39361.2152,39705.563,15211.6848
166,1.9615,40007.7995,39705.563,15211.6848
167,1.9733,40120.9046,39705.563,15211.6848
168,1.9852,40372.4588,39705.563,15211.6848
169,1.997,39829.7637,39705.563,15211.6848
170,2.0088,40783.4075,39705.563,15211.6848
171,2.0206,40748.2192,39705.563,15211.6848
172,2.0324,41222.0041,39705.563,15211.6848
173,2.0442,39777.4002,39705.563,15211.6848
174,2.0561,39969.4694,39705.563,15211.6848
175,2.0679,40545.6773,39705.563,15211.6848
176,2.0797,40826.1361,39705.563,15211.6848
177,2.0915,40814.4067,39705.563,15211.6848
178,2.1033,40174.3154,39705.563,15211.6848
179,2.1151,41589.5958,39705.563,15211.6848
180,2.127,40626.7359,39705.563,15211.6848
181,2.1388,39992.7188,39705.563,15211.6848
182,2.1506,40377.4857,39705.563,15211.6848
183,2.1624,40485.3545,39705.563,15211.6848
184,2.1742,41121.4662,39705.563,15211.6848
185,2.186,41463.9234,39705.563,15211.6848
186,2.1979,40525.1508,39705.563,15211.6848
187,2.2097,40350.8851,39705.563,15211.6848
188,2.2215,41173.4108,39705.563,15211.6848
189,2.2333,39878.1475,39705.563,15211.6848
190,2.2451,40311.2983,39705.563,15211.6848
191,2.2569,40188.1394,39705.563,15211.6848
192,2.2688,39853.013,39705.563,15211.6848
193,2.2806,41891.2095,39705.563,15211.6848
194,2.2924,40281.1369,39705.563,15211.6848
195,2.3042,40311.2983,39705.563,15211.6848
